,Name,Platform,Year_of_Release,Genre,Publisher,Developer,Rating
4651,Cyber Troopers Virtual-On,SAT,1995.0,Fighting,Sega,,
4652,Star Wars Starfighter: Special Edition,XB,2001.0,Simulation,LucasArts,Secret Level,T
4653,Animal Crossing: Amiibo Festival,WiiU,2015.0,Misc,Nintendo,"Nintendo, Nd Cube",E
4654,NBA Jam,PS2,2003.0,Sports,Acclaim Entertainment,,
4655,Zone of the Enders: The 2nd Runner,PS2,2003.0,Simulation,Konami Digital Entertainment,KCEJ,M
4656,Just Dance 2014,PS4,2013.0,Misc,Ubisoft,Ubisoft,E10+
4657,Jampack Spring 2004 (RP-T),PS2,2003.0,Misc,Sony Computer Entertainment,,
4658,Dexter's Laboratory Deesaster Strikes,GBA,2001.0,Adventure,BAM! Entertainment,,
4659,NFL GameDay 2004,PS2,2003.0,Sports,Sony Computer Entertainment,989 Sports,E
4660,Condemned: Criminal Origins,X360,2005.0,Action,Sega,Monolith Productions,M
4661,Scooby-Doo and the Cyber Chase,GBA,2001.0,Adventure,Ubisoft,,
4662,Wheel of Fortune,DS,2010.0,Misc,THQ,THQ,E
4663,Tomb Raider: The Last Revelation,PC,1998.0,Action,Eidos Interactive,Core Design Ltd.,T
4664,pro evolution soccer 2011,PS2,2010.0,Sports,Konami Digital Entertainment,Konami,E
4665,Sega Rally Championship 2,DC,1999.0,Racing,Sega,,
4666,Quake II,PS,1998.0,Shooter,Activision,,
4667,Crash of the Titans,PS2,2007.0,Action,Vivendi Games,Radical Entertainment,E10+
4668,EA Sports UFC 2,XOne,2016.0,Sports,Electronic Arts,EA Sports,T
4669,MLB 10: The Show,PS2,2010.0,Sports,Sony Computer Entertainment,SCEA,E
4670,Wheel of Fortune: 2nd Edition,PS,2000.0,Misc,Hasbro Interactive,,
4671,Tom Clancy's Rainbow Six: Lockdown,XB,2005.0,Shooter,Ubisoft,"Red Storm Entertainment, Ubisoft Montreal",M
4672,Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,PSP,2009.0,Fighting,Namco Bandai Games,,
4673,TimeShift,X360,2007.0,Shooter,Vivendi Games,Saber Interactive,M
4674,Cool Boarders 2001,PS,2000.0,Sports,Sony Computer Entertainment,Idol Minds,E
4675,Grudge Warriors,PS,1999.0,Action,Take-Two Interactive,,
4676,Farming Simulator 17,PS4,2016.0,Simulation,Focus Home Interactive,Maximum Games,E
4677,World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,PS,2000.0,Sports,Konami Digital Entertainment,,
4678,Castlevania: The Dracula X Chronicles,PSP,2007.0,Platform,Konami Digital Entertainment,Konami,T
4679,Mobile Suit Gundam,SAT,1995.0,Action,Namco Bandai Games,,
4680,Tom Clancy's HAWX 2,PS3,2010.0,Action,Ubisoft,Ubisoft,T
4681,Battlefield: Hardline,PS3,2015.0,Shooter,Electronic Arts,Visceral Games,M
4682,Jimmy Neutron: Boy Genius,PS2,2002.0,Platform,THQ,THQ,E
4683,Itadaki Street DS,DS,2007.0,Misc,Square Enix,,
4684,X-Men: The Official Game,PS2,2006.0,Action,Activision,"Z-Axis, Ltd.",T
4685,Terraria,PS3,2013.0,Action,505 Games,Engine Software,T
4686,LEGO Dimensions,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,E10+
4687,Football Manager Handheld 2011,PSP,2010.0,Sports,Sega,Sports Interactive,E
4688,300: March to Glory,PSP,2007.0,Action,Warner Bros. Interactive Entertainment,Collision Studios,M
4689,Marvel Super Hero Squad,DS,2009.0,Fighting,THQ,THQ,E10+
4690,Call of Duty: Modern Warfare: Mobilized,DS,2009.0,Shooter,Activision,,
4691,NHL 15,XOne,2014.0,Sports,Electronic Arts,EA Sports,E10+
4692,E0: Enemy Zero,SAT,1996.0,Adventure,Sega,,
4693,Tom Clancy's The Division,PC,2016.0,Shooter,Ubisoft,Massive Entertainment,M
4694,Yu-Gi-Oh! GX: Tag Force 2,PSP,2007.0,Strategy,Konami Digital Entertainment,,
4695,Nicktoons: Unite!,PS2,2005.0,Adventure,THQ,,
4696,JumpStart: Escape from Adventure Island,Wii,2009.0,Adventure,Knowledge Adventure,Knowledge Adventure Inc.,E
4697,Green Day: Rock Band,PS3,2010.0,Misc,MTV Games,"Harmonix Music Systems, Demiurge Studios",T
4698,NASCAR Racing,PS,1996.0,Racing,Pioneer LDC,,
4699,FIFA 14,PSV,2013.0,Sports,Electronic Arts,EA Canada,E
4700,Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,Wii,2009.0,Misc,Hudson Soft,,
4701,Cars: Race-O-Rama,PSP,2009.0,Racing,THQ,Tantalus Interactive,E
4702,Boku no Natsuyasumi 2: Umi no Bouken Hen,PS2,2002.0,Adventure,Sony Computer Entertainment,,
4703,F1 2014,PS3,2014.0,Racing,Codemasters,Codemasters Birmingham,E
4704,Command & Conquer: Red Alert,PS,1997.0,Strategy,Virgin Interactive,,
4705,Cars: Mater-National Championship,PS3,2007.0,Racing,THQ,Rainbow Studios,E
4706,Call of Duty: Black Ops II,WiiU,2012.0,Shooter,Activision,Treyarch,M
4707,Ogre Battle 64: Person of Lordly Caliber,N64,1999.0,Role-Playing,Nintendo,,
4708,Superman: The New Superman Adventures,N64,1999.0,Action,Titus,,
4709,Dig Dug,NES,1985.0,Puzzle,Namco Bandai Games,,
4710,BioShock,PC,2007.0,Shooter,Take-Two Interactive,"Irrational Games, 2K Marin",M
4711,The Terminator: Dawn of Fate,PS2,2002.0,Action,Atari,Paradigm Entertainment,T
4712,Rogue Galaxy: Director's Cut,PS2,2007.0,Role-Playing,Sony Computer Entertainment,,
4713,Armored Core,PS,1997.0,Simulation,Sony Computer Entertainment,,
4714,The Smurfs,DS,2011.0,Action,Ubisoft,Land Ho!,E
4715,Densha De Go! 2,PS,1999.0,Simulation,Taito,,
4716,Medal of Honor Heroes 2,Wii,2007.0,Shooter,Electronic Arts,EA Canada,T
4717,Top Spin 4,X360,2011.0,Sports,Take-Two Interactive,2K Czech,E
4718,James Patterson Women's Murder Club: Games of Passion,DS,2009.0,Adventure,THQ,THQ,T
4719,Band Hero,PS2,2009.0,Misc,Activision,BudCat,E10+
4720,Armored Core 2: Another Age,PS2,2001.0,Simulation,Metro 3D,From Software,T
4721,Buzz! Junior: Jungle Party,PS2,2006.0,Misc,Sony Computer Entertainment,,
4722,God Eater 2: Rage Burst,PSV,2015.0,Role-Playing,Namco Bandai Games,Shift,T
4723,Mortal Kombat: Deadly Alliance,GC,2002.0,Fighting,Midway Games,Midway,M
4724,NBA 2K11,PS2,2010.0,Action,Take-Two Interactive,Visual Concepts,E
4725,AKB1/48: Idol to Koishitara...,PSP,2010.0,Misc,Namco Bandai Games,,
4726,Pro Pinball,PS,1996.0,Misc,Empire Interactive,,
4727,NiGHTS: Journey of Dreams,Wii,2007.0,Platform,Sega,"Sega, Sonic Team",E
4728,'98 Koshien,PS,1998.0,Sports,Magical Company,,
4729,Harvest Moon: Grand Bazaar,DS,2008.0,Simulation,Rising Star Games,,
4730,NBA 2K9,PS2,2008.0,Sports,Take-Two Interactive,Visual Concepts,E
4731,Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),GBA,2001.0,Misc,Konami Digital Entertainment,,
4732,Up,PSP,2009.0,Action,THQ,Asobo Studio,E
4733,Hatsune Miku: Project Diva 2nd,PSP,2010.0,Misc,Sega,,
4734,Marvel: Ultimate Alliance 2,PS2,2009.0,Role-Playing,Activision,n-Space,T
4735,Monster Jam: Urban Assault,Wii,2008.0,Racing,Activision,Torus Games,E
4736,Call of Duty: Advanced Warfare,PC,2014.0,Shooter,Activision,Sledgehammer Games,M
4737,Mario no Super Picross,SNES,1995.0,Puzzle,Nintendo,,
4738,UEFA Euro 2008 Austria-Switzerland,PS3,2008.0,Sports,Electronic Arts,,
4739,"Ed, Edd n Eddy: The Mis-Edventures",PS2,2005.0,Platform,Midway Games,Artificial Mind and Movement,E
4740,Jikkyou Powerful Pro Yakuu '94,SNES,1994.0,Sports,Konami Digital Entertainment,,
4741,Disney's Tarzan Untamed,PS2,2001.0,Platform,Ubisoft,Ubisoft,E
4742,WWE All Stars,PS3,2011.0,Fighting,THQ,THQ,T
4743,Green Day: Rock Band,X360,2010.0,Misc,MTV Games,"Harmonix Music Systems, Demiurge Studios",T
4744,Harry Potter and the Deathly Hallows - Part 1,DS,2010.0,Action,Electronic Arts,Full Fat,E10+
4745,Resistance: Burning Skies,PSV,2012.0,Shooter,Sony Computer Entertainment,Nihilistic,M
4746,Battlefield 2: Modern Combat,X360,2006.0,Shooter,Electronic Arts,Digital Illusions,T
4747,Rocksmith 2014,XOne,2014.0,Misc,Ubisoft,,
4748,Knockout Kings 2001,PS,2000.0,Fighting,Electronic Arts,EA Sports,T
4749,From Russia With Love,PS2,2005.0,Action,Electronic Arts,EA Redwood Shores,T
4750,Fantastic Pets,X360,2011.0,Simulation,THQ,Blitz Games Studios,E
4751,BlazBlue: Continuum Shift,PS3,2010.0,Fighting,PQube,Arc System Works,T
4752,Duke Nukem Forever,PC,2011.0,Shooter,Take-Two Interactive,"Gearbox Software, 3D Realms",M
4753,Dragon Quest X,WiiU,2013.0,Role-Playing,Square Enix,Square Enix,
4754,Minority Report: Everybody Runs,PS2,2002.0,Action,Activision,Treyarch,T
4755,Katamari Forever,PS3,2009.0,Puzzle,Namco Bandai Games,Bandai Namco Games,E
4756,Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,PS,2003.0,Misc,Sony Computer Entertainment,,
4757,NFL GameDay 2002,PS,2001.0,Sports,Sony Computer Entertainment,989 Sports,E
4758,Pengo,2600,1983.0,Adventure,Atari,,
4759,Spider-Man: Web of Shadows,X360,2008.0,Action,Activision,Shaba Games,T
4760,Naughty Bear,X360,2010.0,Action,505 Games,Artificial Mind and Movement,T
4761,Mouse Trap,2600,1981.0,Action,Coleco,,
4762,Tak and the Power of Juju,GC,2003.0,Platform,THQ,Avalanche Software,E
4763,Six Flags Fun Park,Wii,2009.0,Misc,Ubisoft,7 Studios,E10+
4764,Just Dance Kids 2,X360,2011.0,Misc,Ubisoft,Ubisoft,E
4765,Beowulf: The Game,X360,2007.0,Action,Ubisoft,Ubisoft Shanghai,M
4766,NBA Jam,Wii,2010.0,Sports,Electronic Arts,EA Canada,E
4767,Rune Factory 3: A Fantasy Harvest Moon,DS,2009.0,Role-Playing,Rising Star Games,Neverland,E
4768,Dragon Quest Builders: Revive Alefgard,PS4,2016.0,Role-Playing,Square Enix,,
4769,Star Wars The Clone Wars: Republic Heroes,PSP,2009.0,Action,LucasArts,"LucasArts, Krome Studios",T
4770,Tales of Zestiria,PS4,2015.0,Role-Playing,Namco Bandai Games,Bandai Namco Games,T
4771,Metal Gear Solid: The Legacy Collection,PS3,2013.0,Adventure,Konami Digital Entertainment,Konami,M
4772,Medarot: Kabuto / Kuwagata Version,GB,1997.0,Role-Playing,Imagineer,,
4773,NBA 2K10,PS2,2009.0,Sports,Take-Two Interactive,Visual Concepts,E
4774,Defender,PS2,2002.0,Misc,Midway Games,7 Studios,T
4775,NFL GameDay 2003,PS2,,Sports,Unknown,989 Sports,E
4776,TNA iMPACT!,PS3,2008.0,Fighting,Midway Games,,
4777,Taiko no Tatsujin Wii: Dodon to 2 Yome!,Wii,2009.0,Misc,Namco Bandai Games,,
4778,Congo Bongo,2600,1982.0,Action,Sega,,
4779,Gauntlet: Seven Sorrows,PS2,2005.0,Role-Playing,Midway Games,Midway,T
4780,Harry Potter: Quidditch World Cup,GC,2003.0,Sports,Electronic Arts,Electronic Arts,E
4781,Warriors Orochi 2 (JP sales),PS2,2008.0,Action,Tecmo Koei,,
4782,Cabela's Big Game Hunter 2010,PS3,2009.0,Sports,Activision Value,Activision,T
4783,Overlord,X360,2007.0,Strategy,Codemasters,Triumph Studios,T
4784,The Chronicles of Narnia: Prince Caspian,PS2,2008.0,Action,Disney Interactive Studios,Traveller's Tales,T
4785,The Incredibles: Rise of the Underminer,GBA,2005.0,Action,THQ,Helixe,E
4786,Life is Strange,PS4,2016.0,Adventure,Square Enix,DONTNOD Entertainment,M
4787,Pet in TV,PS,1997.0,Strategy,Sony Computer Entertainment,,
4788,Battalion Wars,GC,2005.0,Strategy,Nintendo,Kuju Entertainment,T
4789,NBA ShootOut 2000,PS,1999.0,Sports,989 Studios,,
4790,Power Rangers: Dino Thunder,GC,2004.0,Action,THQ,Pacific Coast Power & Light,E
4791,Samurai Shodown,SNES,1994.0,Fighting,Takara,,
4792,Mass Effect Trilogy,X360,2012.0,Action,Electronic Arts,BioWare,M
4793,The Wonderful 101,WiiU,2013.0,Action,Nintendo,PlatinumGames,T
4794,SpongeBob SquigglePants,Wii,2011.0,Misc,THQ,WayForward,E
4795,Fighting Vipers,SAT,1995.0,Fighting,Sega,,
4796,Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,DS,2009.0,Action,Konami Digital Entertainment,,
4797,NCAA GameBreaker 2000,PS,1999.0,Sports,989 Studios,,
4798,Asura's Wrath,PS3,2012.0,Action,Capcom,CyberConnect2,T
4799,The Legend of Spyro: Dawn of the Dragon,PS2,2008.0,Platform,Vivendi Games,Etranges Libellules,E10+
4800,AKB1/48: Idol to Guam de Koishitara...,PSP,2011.0,Misc,Namco Bandai Games,,
4801,NFL Quarterback Club 2000,N64,1999.0,Sports,Acclaim Entertainment,,
4802,Mortal Kombat Mythologies: Sub-Zero,N64,1997.0,Fighting,Midway Games,,
4803,RR64: Ridge Racer 64,N64,1999.0,Racing,Nintendo,,
4804,Top Gear Rally,N64,1997.0,Racing,Kemco,,
4805,18 Wheeler: American Pro Trucker,PS2,2001.0,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham,E
4806,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PSP,2009.0,Shooter,Activision,,
4807,Wall-E,PS3,2008.0,Platform,THQ,Heavy Iron Studios,E
4808,Atari Anthology,PS2,2004.0,Misc,Atari,Digital Eclipse,E
4809,FIFA 14,PC,2013.0,Sports,Electronic Arts,EA Canada,E
4810,Bugs Bunny: Lost in Time,PS,1999.0,Platform,Infogrames,,
4811,Hot Wheels: Beat That!,PS2,2007.0,Racing,Activision,Eutechnyx,E
4812,MLB 2006,PS2,2005.0,Sports,Sony Computer Entertainment,989 Sports,E
4813,Ragnarok Odyssey,PSV,2012.0,Role-Playing,GungHo,Game Arts,T
4814,Brunswick Pro Bowling,PS2,2007.0,Sports,505 Games,Point of View,E
4815,The Gunstringer,X360,2011.0,Shooter,Microsoft Game Studios,Twisted Pixel Games,T
4816,Rocket Power: Dream Scheme,GBA,2001.0,Action,THQ,,
4817,Marvel: Ultimate Alliance,Wii,2006.0,Role-Playing,Activision,Vicarious Visions,T
4818,LEGO Harry Potter: Years 5-7,3DS,,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,E10+
4819,My Virtual Tutor: Reading Adventure First to Second Grade,DS,2009.0,Misc,Mentor Interactive,,
4820,MX vs. ATV Unleashed,XB,2005.0,Racing,THQ,Rainbow Studios,E
4821,FIFA Soccer 13,PC,2012.0,Action,Electronic Arts,Electronic Arts,E
4822,Rampage: Total Destruction,GC,2006.0,Action,Midway Games,"Pipeworks Software, Inc.",E10+
4823,Style Lab: Makeover,DS,2009.0,Simulation,Ubisoft,Ubisoft,E
4824,The Urbz: Sims in the City,GC,2004.0,Simulation,Electronic Arts,Maxis,T
4825,Road Rash: Jailbreak,PS,1999.0,Racing,Electronic Arts,,
4826,Disney Sing It! High School Musical 3: Senior Year,PS3,2008.0,Misc,Disney Interactive Studios,,
4827,Mother 3,GBA,2006.0,Role-Playing,Nintendo,,
4828,Nicktoons: Freeze Frame Frenzy,GBA,2004.0,Action,THQ,Altron,E
4829,Monster Trucks Mayhem,Wii,2009.0,Racing,Zoo Games,Zoo Games,E
4830,You Don't Know Jack,PS,1999.0,Misc,Vivendi Games,,
4831,Rapala Pro Bass Fishing 2010,X360,2010.0,Sports,Activision,FUN Labs,E
4832,WWE SmackDown! vs. RAW 2006,PSP,2005.0,Fighting,THQ,Yuke's,T
4833,Mafia II,PC,2010.0,Action,Take-Two Interactive,2K Czech,M
4834,Avatar: The Game,DS,2009.0,Action,Ubisoft,,
4835,Mystery Dungeon: Shiren the Wanderer,SNES,1995.0,Role-Playing,ChunSoft,,
4836,Pro Evolution Soccer 2016,PS3,2015.0,Sports,Konami Digital Entertainment,Konami,E
4837,Star Wars: Clone Wars,GC,2002.0,Shooter,Activision,,
4838,NBA Live 2002,XB,2001.0,Sports,Electronic Arts,Electronic Arts,E
4839,Sega Superstars Tennis,PS3,2008.0,Sports,Sega,Sumo Digital,E10+
4840,Spore Hero,Wii,2009.0,Simulation,Electronic Arts,Maxis,E10+
4841,Winter Sports 2: The Next Challenge,Wii,2008.0,Sports,RTL,49Games,E
4842,Boku no Natsuyasumi,PS,2000.0,Adventure,Sony Computer Entertainment,,
4843,I-Ninja,PS2,2003.0,Platform,Sony Computer Entertainment,Argonaut Games,T
4844,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS3,2007.0,Action,Activision,,
4845,Moshi Monsters: Moshlings Theme Park,DS,2012.0,Misc,Activision,Black Lantern Studios,E
4846,Ghostbusters: The Video Game,DS,2009.0,Action,Atari,Zen Studios,E
4847,Command & Conquer,PS,1996.0,Strategy,Virgin Interactive,,
4848,Harvest Moon: Save the Homeland,PS2,,Simulation,Unknown,Victor Interactive Software,E
4849,SD Gundam G Generation Seed,PS2,2004.0,Strategy,Namco Bandai Games,,
4850,Call of Duty: Finest Hour,GC,2004.0,Shooter,Activision,Exakt,T
4851,Naruto: Path of the Ninja,DS,2007.0,Role-Playing,D3Publisher,TOSE,E10+
4852,Tales of Phantasia,SNES,1995.0,Role-Playing,Namco Bandai Games,,
4853,Speed Racer: The Videogame,Wii,2008.0,Racing,Warner Bros. Interactive Entertainment,,
4854,Castlevania: Portrait of Ruin,DS,2006.0,Platform,Konami Digital Entertainment,Konami,T
4855,Suzuki TT Superbikes,PS2,2005.0,Racing,Jester Interactive,Jester Interactive,E
4856,Rumble Roses,PS2,2004.0,Fighting,Konami Digital Entertainment,Yuke's,M
4857,Disney Infinity 3.0,X360,2015.0,Action,Disney Interactive Studios,,
4858,Tomb Raider: Anniversary,X360,2007.0,Action,Eidos Interactive,Crystal Dynamics,T
4859,Sherlock Holmes: The Mystery of the Mummy,DS,2009.0,Adventure,Focus Home Interactive,"Frogwares, Mistic Software",E
4860,Fantastic Four: Rise of the Silver Surfer,PS2,2007.0,Action,Take-Two Interactive,7 Studios,T
4861,Ultimate Spider-Man,XB,2005.0,Action,Activision,Treyarch,T
4862,Littlest Pet Shop,Wii,2008.0,Simulation,Electronic Arts,Full Fat,E
4863,Juiced 2: Hot Import Nights,PS2,2007.0,Racing,THQ,Juice Games,T
4864,Star Wars The Clone Wars: Republic Heroes,DS,2009.0,Action,LucasArts,LucasArts,E10+
4865,NHL 99,N64,1998.0,Sports,Electronic Arts,,
4866,LEGO The Lord of the Rings,3DS,2012.0,Action,Warner Bros. Interactive Entertainment,TT Games,E10+
4867,Danball Senki,PSP,2011.0,Role-Playing,Level 5,,
4868,No More Heroes 2: Desperate Struggle,Wii,2010.0,Action,Rising Star Games,Grasshopper Manufacture,M
4869,NASCAR Heat,PS,2000.0,Racing,Hasbro Interactive,Monster Games Inc.,E
4870,Planet 51,DS,2009.0,Action,Sega,Firebrand Games,E
4871,Bloody Roar,PS,1997.0,Fighting,Virgin Interactive,,
4872,Bump 'n' Jump,2600,1982.0,Racing,Mattel Interactive,,
4873,Mobile Suit Gundam: Lost War Chronicles,PS2,2002.0,Shooter,Namco Bandai Games,,
4874,Legends of WrestleMania,X360,2009.0,Fighting,THQ,Yuke's,T
4875,Fishing Resort,Wii,2011.0,Sports,Namco Bandai Games,Prope,E
4876,Disney's Brother Bear,GBA,2003.0,Action,THQ,Vicarious Visions,E
4877,Armored Core V,PS3,2012.0,Simulation,Namco Bandai Games,From Software,T
4878,NBA Live 09,PS2,2008.0,Sports,Electronic Arts,EA Canada,E
4879,Saints Row IV,PS4,2015.0,Action,Deep Silver,,
4880,Mass Effect 2,PC,2010.0,Role-Playing,Electronic Arts,BioWare,M
4881,Harry Potter and the Deathly Hallows - Part 1,PS3,2010.0,Action,Electronic Arts,EA Bright Light,T
4882,The House of The Dead III,XB,2002.0,Shooter,Sega,Wow Entertainment,M
4883,Project X Zone,3DS,2012.0,Role-Playing,Namco Bandai Games,"Monolith Soft, Banpresto",T
4884,NBA Jam,PS3,2010.0,Sports,Electronic Arts,EA Canada,E
4885,Fire Emblem: Fuuin no Tsurugi,GBA,2002.0,Role-Playing,Nintendo,,
4886,Dishonored,PS4,2015.0,Action,Bethesda Softworks,,
4887,Dark Souls III,XOne,2016.0,Role-Playing,Namco Bandai Games,From Software,
4888,NBA Jam,X360,2010.0,Sports,Electronic Arts,EA Canada,E
4889,Dancing with the Stars: We Dance!,DS,2008.0,Misc,Activision,,
4890,NBA Live 09,PSP,2008.0,Sports,Electronic Arts,EA Sports,E
4891,Ener-G: Gym Rockets,DS,2008.0,Sports,Ubisoft,1st Playable Productions,E
4892,Laser Blast,2600,1981.0,Action,Activision,,
4893,Madden NFL Football,3DS,2011.0,Sports,Electronic Arts,EA Tiburon,E
4894,Thrasher Presents: Skate and Destroy,PS,1998.0,Sports,Take-Two Interactive,,
4895,Are You Smarter than a 5th Grader? Make the Grade,DS,2008.0,Misc,THQ,THQ,E
4896,Donkey Konga 2,GC,2004.0,Misc,Nintendo,Namco,T
4897,SpongeBob's Truth or Square (US sales),PSP,2009.0,Action,THQ,,
4898,Tear Ring Saga Yutona Eiyuu Senki,PS,2001.0,Role-Playing,Enterbrain,,
4899,Transformers: Fall of Cybertron,PS3,2012.0,Action,Activision,High Moon Studios,T
4900,Alpha Protocol,X360,2010.0,Role-Playing,Sega,Obsidian Entertainment,M
4901,Metal Gear Solid HD Edition,PSV,2012.0,Action,Konami Digital Entertainment,,
4902,FIFA 12,3DS,2011.0,Sports,Electronic Arts,,
4903,Taiko no Tatsujin Wii: Ketteiban,Wii,2011.0,Misc,Namco Bandai Games,,
4904,SSX 3,XB,2003.0,Sports,Electronic Arts,EA Canada,E
4905,Combat of Giants: Dinosaurs 3D,3DS,2011.0,Strategy,Ubisoft,Ubisoft,E10+
4906,Madden NFL 2005,GBA,2004.0,Sports,Electronic Arts,Exient Entertainment,E
4907,All-Star Baseball 2000,N64,1999.0,Sports,Acclaim Entertainment,,
4908,Custom Robo V2,N64,2000.0,Fighting,Nintendo,,
4909,Extreme-G: XG2,N64,1998.0,Racing,Acclaim Entertainment,,
4910,BattleTanx: Global Assault,N64,1999.0,Action,3DO,,
4911,Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,2009.0,Action,Square Enix,Square Enix,T
4912,SpongeBob's Truth or Square (US sales),Wii,2009.0,Action,THQ,,
4913,Until Dawn: Rush of Blood,PS4,2016.0,Adventure,Sony Computer Entertainment,SuperMassive Games,M
4914,Chibi-Robo! Plug into Adventure!,GC,2005.0,Adventure,Nintendo,,
4915,Sonic Lost World,WiiU,2013.0,Platform,Sega,Sonic Team,E10+
4916,Super Monkey Ball: Step & Roll,Wii,2010.0,Action,Sega,,
4917,Skylanders SWAP Force,PS4,2013.0,Platform,Activision,Vicarious Visions,E10+
4918,Iron Man 2,PS3,2010.0,Action,Sega,Sega Studios San Francisco,T
4919,Jampack Winter 2003 (RP-T),PS2,2003.0,Misc,Sony Computer Entertainment,,
4920,Star Wars The Clone Wars: Republic Heroes,X360,2009.0,Action,LucasArts,Krome Studios,T
4921,Monster Jam: Urban Assault,DS,2008.0,Racing,Activision,Torus Games,E
4922,Kengo: Master of Bushido,PS2,2000.0,Fighting,Ubisoft,Light Weight,M
4923,Blood Omen 2,PS2,2002.0,Action,Eidos Interactive,Crystal Dynamics,M
4924,Monopoly Streets,PS3,2010.0,Misc,Electronic Arts,Electronic Arts,E
4925,Super Fire ProWrestling,SNES,1991.0,Fighting,Human Entertainment,,
4926,Cabela's Dangerous Hunts 2,PS2,2005.0,Sports,Activision,Sand Grain Studios,T
4927,Condemned 2: Bloodshot,PS3,2008.0,Action,Sega,Monolith Productions,M
4928,Disney Princess: Enchanting Storybooks,Wii,2011.0,Misc,THQ,Page 44 Studios,E
4929,Chessmaster,PS2,2003.0,Misc,Ubisoft,Ubisoft Romania,E
4930,Fatal Fury,SNES,1992.0,Fighting,Takara,,
4931,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,GB,2001.0,Role-Playing,Banpresto,,
4932,The Darkness II,X360,2012.0,Shooter,Take-Two Interactive,Digital Extremes,M
4933,Ice Age 2: The Meltdown,PS2,2006.0,Platform,Vivendi Games,Eurocom Entertainment Software,E10+
4934,The Sims 2,GBA,2005.0,Simulation,Electronic Arts,Maxis,E10+
4935,Hitman: Blood Money,X360,2006.0,Action,Eidos Interactive,Io Interactive,M
4936,Super Famista 3,SNES,1994.0,Sports,Namco Bandai Games,,
4937,Advance Wars: Dual Strike,DS,2005.0,Strategy,Nintendo,Intelligent Systems,E
4938,Auto Modellista,PS2,2002.0,Racing,Capcom,Capcom,E
4939,WipeOut 3 The Game,Wii,2012.0,Action,Activision,,
4940,MLB 15: The Show,PS3,2015.0,Sports,Sony Computer Entertainment,SCEA San Diego Studios,E
4941,Tom Clancy's Ghost Recon 2: Summit Strike,XB,2005.0,Shooter,Ubisoft,Red Storm Entertainment,T
4942,Tiger Woods PGA Tour 08,PS2,2007.0,Sports,Electronic Arts,EA Salt Lake,E
4943,F1 2016 (Codemasters),PS4,2016.0,Racing,Codemasters,,
4944,Just Dance 2015,PS4,2014.0,Misc,Ubisoft,Ubisoft,E10+
4945,Robert Ludlum's The Bourne Conspiracy,PS3,,Action,Vivendi Games,High Moon Studios,T
4946,Samurai Warriors Chronicles,3DS,2011.0,Action,Tecmo Koei,Omega Force,T
4947,Karaoke Revolution Presents American Idol Encore,PS2,2008.0,Misc,Konami Digital Entertainment,Blitz Games,E
4948,Airlock,2600,1981.0,Action,Data Age,,
4949,Tokimeki Memorial 2,PS,1999.0,Simulation,Konami Digital Entertainment,,
4950,Hooked! Again: Real Motion Fishing,Wii,2009.0,Sports,505 Games,,
4951,SpongeBob vs The Big One: Beach Party Cook Off,DS,2009.0,Adventure,THQ,THQ,E
4952,One Piece: Unlimited World Red,3DS,2013.0,Action,Namco Bandai Games,Ganbarion,T
4953,EA Sports Active 2,X360,2010.0,Sports,Electronic Arts,EA Canada,E
4954,MotoGP 08,PS3,2008.0,Racing,Capcom,Milestone S.r.l,E
4955,Red Faction: Armageddon,X360,2011.0,Shooter,THQ,Volition Inc.,M
4956,Harry Potter: Quidditch World Cup,GBA,2003.0,Sports,Electronic Arts,Magic Pockets,E
4957,Dungeon Siege III,PS3,2011.0,Role-Playing,Square Enix,Obsidian Entertainment,T
4958,Evil Dead: Fistfull of Boomstick,PS2,2003.0,Action,THQ,,
4959,Silent Hill: Homecoming,PS3,,Action,Konami Digital Entertainment,Double Helix Games,M
4960,Triple Play 97,PS,1996.0,Sports,Electronic Arts Victor,,
4961,Sonic & All-Stars Racing Transformed,PSV,2012.0,Racing,Sega,,
4962,Super Soccer,SNES,1991.0,Sports,Nintendo,,
4963,Shin Megami Tensei: Nocturne,PS2,2003.0,Role-Playing,Ghostlight,Atlus Co.,M
4964,Wario Land II (GBC),GB,1998.0,Platform,Nintendo,,
4965,San Francisco Rush: Extreme Racing,PS,1997.0,Racing,GT Interactive,,
4966,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,PS,1998.0,Racing,Human Entertainment,,
4967,Farming Simulator 2013,X360,2013.0,Simulation,Focus Home Interactive,Giants Software,E
